reference,description,color_normalized,product_key,opening_qty,movement_rows
010101,PERUANA 200 GR,ARENA,010101|ARENA,4195.07,221
010301,CUELLO S-M + PUNO,CIELO,010301|CIELO,368.0,1
010301,CUELLO S-M + PUNO,IVORY,010301|IVORY,1545.0,1
010301,CUELLO S-M + PUNO,KAKY,010301|KAKY,1494.0,1
010301,CUELLO S-M + PUNO,LILA,010301|LILA,360.0,1
010301,CUELLO S-M + PUNO,MENTA BEBE,010301|MENTA BEBE,79.0,1
010301,CUELLO S-M + PUNO,NEGRO,010301|NEGRO,7226.0,1
010301,CUELLO S-M + PUNO,PAPRIKA,010301|PAPRIKA,261.0,1
010301,CUELLO S-M + PUNO,PISTACHO,010301|PISTACHO,154.0,1
010301,CUELLO S-M + PUNO,RATA,010301|RATA,359.0,1
010301,CUELLO S-M + PUNO,ROJO,010301|ROJO,789.0,1
010301,CUELLO S-M + PUNO,ROSADO,010301|ROSADO,354.0,1
010301,CUELLO S-M + PUNO,TURQUI,010301|TURQUI,299.0,1
010301,CUELLO S-M + PUNO,VERDE BOTELLA,010301|VERDE BOTELLA,1213.0,1
010301,CUELLO S-M + PUNO,VERDE MILITAR,010301|VERDE MILITAR,181.0,1
010302,CUELLO L-XL + PUNO,AMARILLO MEDIO,010302|AMARILLO MEDIO,256.0,1
010302,CUELLO L-XL + PUNO,ARENA,010302|ARENA,2181.0,1
010302,CUELLO L-XL + PUNO,AZUL M,010302|AZUL M,1028.0,1
010302,CUELLO L-XL + PUNO,BLANCO,010302|BLANCO,7138.0,1
010302,CUELLO L-XL + PUNO,CEMENTO,010302|CEMENTO,1091.0,1
010302,CUELLO L-XL + PUNO,CIELO,010302|CIELO,278.0,1
010302,CUELLO L-XL + PUNO,IVORY,010302|IVORY,1374.0,1
010302,CUELLO L-XL + PUNO,KAKY,010302|KAKY,1181.0,1
010302,CUELLO L-XL + PUNO,LILA,010302|LILA,376.0,1
010302,CUELLO L-XL + PUNO,MENTA BEBE,010302|MENTA BEBE,225.0,1
010302,CUELLO L-XL + PUNO,NEGRO,010302|NEGRO,6966.0,1
010302,CUELLO L-XL + PUNO,PAPRIKA,010302|PAPRIKA,248.0,1
010302,CUELLO L-XL + PUNO,PISTACHO,010302|PISTACHO,192.0,1
010302,CUELLO L-XL + PUNO,RATA,010302|RATA,358.0,1
010302,CUELLO L-XL + PUNO,ROJO,010302|ROJO,736.0,1
010302,CUELLO L-XL + PUNO,ROSADO,010302|ROSADO,160.0,1
010302,CUELLO L-XL + PUNO,TURQUI,010302|TURQUI,245.0,1
010302,CUELLO L-XL + PUNO,VERDE BOTELLA,010302|VERDE BOTELLA,1127.0,1
010302,CUELLO L-XL + PUNO,VERDE MILITAR,010302|VERDE MILITAR,168.0,1
020101,LICRA FRIA 200 GR,ARENA,020101|ARENA,1024.9,47
020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,478.7,21
020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,2658.5,117
020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,659.2,30
020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,74.7,4
020101,LICRA FRIA 200 GR,INDIGO,020101|INDIGO,503.1,22
020101,LICRA FRIA 200 GR,JASPE MEDIO,020101|JASPE MEDIO,229.1,10
020101,LICRA FRIA 200 GR,KAKY,020101|KAKY,183.2,9
020101,LICRA FRIA 200 GR,LILA,020101|LILA,179.3,8
020101,LICRA FRIA 200 GR,MENTA BEBE,020101|MENTA BEBE,65.2,3
020101,LICRA FRIA 200 GR,NEGRO,020101|NEGRO,7145.3,303
020101,LICRA FRIA 200 GR,PALO DE ROSA,020101|PALO DE ROSA,496.5,22
020101,LICRA FRIA 200 GR,RATA,020101|RATA,21.8,1
020101,LICRA FRIA 200 GR,ROJO,020101|ROJO,560.8,25
020101,LICRA FRIA 200 GR,TURQUI,020101|TURQUI,624.7,27
020101,LICRA FRIA 200 GR,VERDE BOTELLA,020101|VERDE BOTELLA,321.7,14
020102,LICRA FRIA 240 GR,AZUL M,020102|AZUL M,1471.6,65
020102,LICRA FRIA 240 GR,BLANCO,020102|BLANCO,23.6,1
020102,LICRA FRIA 240 GR,CEMENTO,020102|CEMENTO,42.9,2
020102,LICRA FRIA 240 GR,CHOCOLATE,020102|CHOCOLATE,21.6,1
020102,LICRA FRIA 240 GR,CRUDO,020102|CRUDO,1161.3,50
020102,LICRA FRIA 240 GR,INDIGO,020102|INDIGO,218.1,10
020102,LICRA FRIA 240 GR,LILA,020102|LILA,305.3,14
020102,LICRA FRIA 240 GR,MENTA BEBE,020102|MENTA BEBE,21.5,1
020102,LICRA FRIA 240 GR,NAVY,020102|NAVY,14.3,1
020102,LICRA FRIA 240 GR,NEGRO,020102|NEGRO,7020.1,304
020102,LICRA FRIA 240 GR,ROJO,020102|ROJO,656.9,28
020102,LICRA FRIA 240 GR,TURQUI,020102|TURQUI,1926.3,85
020102,LICRA FRIA 240 GR,VERDE BOTELLA,020102|VERDE BOTELLA,1629.4,71
020104,TELA FRIA 170 GR,NARANJA,020104|NARANJA,113.9,5
020201,RIB F200,ARENA,020201|ARENA,100.8,1
020201,RIB F200,AZUL M,020201|AZUL M,38.5,1
020201,RIB F200,BLANCO,020201|BLANCO,390.00000000000006,1
020201,RIB F200,CEMENTO,020201|CEMENTO,85.4,1
020201,RIB F200,CHOCOLATE,020201|CHOCOLATE,21.0,1
020201,RIB F200,INDIGO,020201|INDIGO,65.19999999999999,1
020201,RIB F200,IVORY,020201|IVORY,97.69999999999999,1
020201,RIB F200,JASPE MEDIO,020201|JASPE MEDIO,28.0,1
020201,RIB F200,KAKY,020201|KAKY,211.7,1
020201,RIB F200,LILA,020201|LILA,42.0,1
020201,RIB F200,MENTA BEBE,020201|MENTA BEBE,5.8,1
020201,RIB F200,NEGRO,020201|NEGRO,1325.1,1
020201,RIB F200,PALO DE ROSA,020201|PALO DE ROSA,30.800000000000004,1
020201,RIB F200,PAPRIKA,020201|PAPRIKA,14.3,1
020201,RIB F200,ROJO,020201|ROJO,189.9,1
020201,RIB F200,TOFFE,020201|TOFFE,36.9,1
020201,RIB F200,TURQUI,020201|TURQUI,52.4,1
020201,RIB F200,VERDE BOTELLA,020201|VERDE BOTELLA,93.1,1
020201,RIB F200,VERDE MILITAR,020201|VERDE MILITAR,10.600000000000001,1
020202,RIB F240,ARENA,020202|ARENA,112.8,1
020202,RIB F240,AZUL M,020202|AZUL M,82.10000000000001,1
020202,RIB F240,BLANCO,020202|BLANCO,82.2,1
020202,RIB F240,CEMENTO,020202|CEMENTO,2.8,1
020202,RIB F240,CHOCOLATE,020202|CHOCOLATE,6.6,1
020202,RIB F240,INDIGO,020202|INDIGO,85.1,1
020202,RIB F240,IVORY,020202|IVORY,193.3,1
020202,RIB F240,KAKY,020202|KAKY,66.5,1
020202,RIB F240,LILA,020202|LILA,2.6,1
020202,RIB F240,MENTA BEBE,020202|MENTA BEBE,2.9,1
020202,RIB F240,NEGRO,020202|NEGRO,561.4,1
020202,RIB F240,PAPRIKA,020202|PAPRIKA,6.4,1
020202,RIB F240,RATA,020202|RATA,19.200000000000003,1
