movement_month,reference,description,color_normalized,product_key,opening_balance,opening_stock_qty,imports_qty,sales_qty,returns_adjustments_qty,other_qty_in,other_qty_out,net_change,closing_balance,calculated_closing_balance,has_negative_closing_balance,has_month_movement,movement_rows,first_movement_month,last_movement_month
2026-06,020101,LICRA FRIA 200 GR,ARENA,020101|ARENA,1891.1999999999998,0.0,0.0,165.0,0.0,0.0,0.0,-165.0,1726.1999999999998,1726.1999999999998,False,True,1.0,2025-12,2026-06
2025-12,020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,0.0,478.7,0.0,0.0,0.0,0.0,0.0,478.7,478.7,478.7,False,True,21.0,2025-12,2026-05
2026-01,020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,478.7,0.0,0.0,93.4,0.0,0.0,0.0,-93.4,385.29999999999995,385.29999999999995,False,True,1.0,2025-12,2026-05
2026-02,020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,385.29999999999995,0.0,0.0,93.6,0.0,0.0,0.0,-93.6,291.7,291.69999999999993,False,True,1.0,2025-12,2026-05
2026-03,020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,291.7,0.0,0.0,23.7,0.0,0.0,0.0,-23.7,268.0,268.0,False,True,1.0,2025-12,2026-05
2026-04,020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,268.0,0.0,0.0,89.8,0.0,0.0,0.0,-89.8,178.2,178.2,False,True,1.0,2025-12,2026-05
2026-05,020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,178.2,0.0,0.0,155.7,0.0,0.0,0.0,-155.7,22.5,22.5,False,True,1.0,2025-12,2026-05
2026-06,020101,LICRA FRIA 200 GR,AZUL M,020101|AZUL M,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,False,False,0.0,2025-12,2026-05
2025-12,020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,0.0,2658.5,0.0,0.0,0.0,0.0,0.0,2658.5,2658.5,2658.5,False,True,117.0,2025-12,2026-06
2026-01,020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,2658.5,0.0,0.0,598.7,0.0,0.0,0.0,-598.7,2059.8,2059.8,False,True,1.0,2025-12,2026-06
2026-02,020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,2059.8,0.0,0.0,343.7,0.0,0.0,0.0,-343.7,1716.1,1716.1000000000001,False,True,1.0,2025-12,2026-06
2026-03,020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,1716.1,0.0,3211.6,107.4,0.0,0.0,0.0,3104.2,4820.299999999999,4820.299999999999,False,True,157.0,2025-12,2026-06
2026-04,020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,4820.299999999999,0.0,0.0,636.1,0.0,0.0,0.0,-636.1,4184.2,4184.199999999999,False,True,1.0,2025-12,2026-06
2026-05,020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,4184.2,0.0,0.0,883.5,0.0,0.0,0.0,-883.5,3300.7,3300.7,False,True,1.0,2025-12,2026-06
2026-06,020101,LICRA FRIA 200 GR,BLANCO,020101|BLANCO,3300.7,0.0,0.0,0.0,101.1,0.0,0.0,101.1,3401.7999999999997,3401.7999999999997,False,True,1.0,2025-12,2026-06
2025-12,020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,0.0,659.2,0.0,0.0,0.0,0.0,0.0,659.2,659.2,659.2,False,True,30.0,2025-12,2026-05
2026-01,020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,659.2,0.0,0.0,287.8,0.0,0.0,0.0,-287.8,371.40000000000003,371.40000000000003,False,True,1.0,2025-12,2026-05
2026-02,020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,371.40000000000003,0.0,0.0,0.0,4.9,0.0,0.0,4.9,376.3,376.3,False,True,1.0,2025-12,2026-05
2026-03,020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,376.3,0.0,1870.4,65.0,0.0,0.0,0.0,1805.4,2181.7000000000003,2181.7000000000003,False,True,90.0,2025-12,2026-05
2026-04,020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,2181.7000000000003,0.0,0.0,42.2,0.0,0.0,0.0,-42.2,2139.5,2139.5000000000005,False,True,1.0,2025-12,2026-05
2026-05,020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,2139.5,0.0,0.0,441.6,0.0,0.0,0.0,-441.6,1697.9,1697.9,False,True,1.0,2025-12,2026-05
2026-06,020101,LICRA FRIA 200 GR,CEMENTO,020101|CEMENTO,1697.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.9,1697.9,False,False,0.0,2025-12,2026-05
2025-12,020101,LICRA FRIA 200 GR,CHOCOLATE,020101|CHOCOLATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,2026-03,2026-05
2026-01,020101,LICRA FRIA 200 GR,CHOCOLATE,020101|CHOCOLATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,2026-03,2026-05
2026-02,020101,LICRA FRIA 200 GR,CHOCOLATE,020101|CHOCOLATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,2026-03,2026-05
2026-03,020101,LICRA FRIA 200 GR,CHOCOLATE,020101|CHOCOLATE,0.0,0.0,1403.5,42.9,0.0,0.0,0.0,1360.6,1360.6,1360.6,False,True,67.0,2026-03,2026-05
2026-04,020101,LICRA FRIA 200 GR,CHOCOLATE,020101|CHOCOLATE,1360.6,0.0,0.0,171.5,0.0,0.0,0.0,-171.5,1189.1,1189.1,False,True,1.0,2026-03,2026-05
2026-05,020101,LICRA FRIA 200 GR,CHOCOLATE,020101|CHOCOLATE,1189.1,0.0,0.0,172.4,0.0,0.0,0.0,-172.4,1016.6999999999999,1016.6999999999999,False,True,1.0,2026-03,2026-05
2026-06,020101,LICRA FRIA 200 GR,CHOCOLATE,020101|CHOCOLATE,1016.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6999999999999,1016.6999999999999,False,False,0.0,2026-03,2026-05
2025-12,020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,0.0,74.7,0.0,0.0,0.0,0.0,0.0,74.7,74.7,74.7,False,True,4.0,2025-12,2026-02
2026-01,020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,74.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,74.7,False,False,0.0,2025-12,2026-02
2026-02,020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,74.7,0.0,0.0,0.0,16.1,0.0,0.0,16.1,90.80000000000001,90.80000000000001,False,True,1.0,2025-12,2026-02
2026-03,020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,90.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.80000000000001,90.80000000000001,False,False,0.0,2025-12,2026-02
2026-04,020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,90.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.80000000000001,90.80000000000001,False,False,0.0,2025-12,2026-02
2026-05,020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,90.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.80000000000001,90.80000000000001,False,False,0.0,2025-12,2026-02
2026-06,020101,LICRA FRIA 200 GR,CRUDO,020101|CRUDO,90.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.80000000000001,90.80000000000001,False,False,0.0,2025-12,2026-02
2025-12,020101,LICRA FRIA 200 GR,INDIGO,020101|INDIGO,0.0,503.1,0.0,0.0,0.0,0.0,0.0,503.1,503.1,503.1,False,True,22.0,2025-12,2026-05
2026-01,020101,LICRA FRIA 200 GR,INDIGO,020101|INDIGO,503.1,0.0,0.0,70.4,0.0,0.0,0.0,-70.4,432.70000000000005,432.70000000000005,False,True,1.0,2025-12,2026-05
2026-02,020101,LICRA FRIA 200 GR,INDIGO,020101|INDIGO,432.70000000000005,0.0,0.0,69.4,0.0,0.0,0.0,-69.4,363.3,363.30000000000007,False,True,1.0,2025-12,2026-05
