reference,color_normalized,product_key,descriptions,first_movement_date,last_movement_date,total_qty_in,total_qty_out,current_net_qty,movement_rows,sources
010106,BLANCO,010106|BLANCO,PERUANA 310 GR,2025-12-31,2026-06-30,1900.03,1012.73,887.3,97,opening | receipts | sales
010106,CEMENTO,010106|CEMENTO,PERUANA 310 GR,2026-02-26,2026-04-30,434.72,206.88,227.84,25,receipts | sales
010106,CHOCOLATE,010106|CHOCOLATE,PERUANA 310 GR,2025-12-31,2026-04-30,634.6,217.47000000000003,417.13,36,opening | receipts | sales
010106,IVORY,010106|IVORY,PERUANA 310 GR,2025-12-31,2026-06-30,4575.35,2568.25,2007.1,261,opening | receipts | sales
010106,KAKY,010106|KAKY,PERUANA 310 GR,2025-12-31,2026-06-30,918.09,792.2,125.89000000000003,58,opening | sales
010106,NEGRO,010106|NEGRO,PERUANA 310 GR,2025-12-31,2026-06-30,9056.0,5818.84,3237.1600000000003,490,opening | receipts | sales
010106,RATA,010106|RATA,PERUANA 310 GR,2026-03-13,2026-06-30,446.97,95.14,351.83,25,receipts | sales
010106,ROJO,010106|ROJO,PERUANA 310 GR,2025-12-31,2026-05-31,460.67,421.51,39.16,28,opening | receipts | sales
010107,AZUL M,010107|AZUL M,PERUANA INTERLOCK 335 GR,2026-06-30,2026-06-30,0.0,19.1,-19.1,1,sales
010107,IVORY,010107|IVORY,PERUANA INTERLOCK 335 GR,2026-03-10,2026-05-31,283.0,92.30000000000001,190.7,19,receipts | sales
010107,NEGRO,010107|NEGRO,PERUANA INTERLOCK 335 GR,2026-03-31,2026-06-30,0.0,346.3,-346.3,4,sales
010107,VERDE BOTELLA,010107|VERDE BOTELLA,PERUANA INTERLOCK 335 GR,2026-05-31,2026-05-31,0.0,18.1,-18.1,1,sales
010107,VERDE SECO,010107|VERDE SECO,PERUANA INTERLOCK 335 GR,2026-06-30,2026-06-30,0.0,19.1,-19.1,1,sales
010108,ARENA,010108|ARENA,PERUANA INTERLOCK 243 GR,2026-03-16,2026-04-30,226.70000000000002,18.6,208.10000000000002,13,receipts | sales
010108,AZUL M,010108|AZUL M,PERUANA INTERLOCK 243 GR,2026-03-16,2026-03-16,224.20000000000002,0.0,224.20000000000002,12,receipts
010108,BLANCO,010108|BLANCO,PERUANA INTERLOCK 243 GR,2026-03-16,2026-05-31,898.2,75.4,822.8000000000001,50,receipts | sales
010108,CHOCOLATE,010108|CHOCOLATE,PERUANA INTERLOCK 243 GR,2026-04-28,2026-04-28,435.70000000000005,0.0,435.70000000000005,23,receipts
010108,IVORY,010108|IVORY,PERUANA INTERLOCK 243 GR,2026-03-16,2026-05-31,2032.2,75.9,1956.3000000000002,109,receipts | sales
010108,KAKY,010108|KAKY,PERUANA INTERLOCK 243 GR,2026-03-16,2026-04-28,813.3000000000001,0.0,813.3000000000001,48,receipts
010108,NEGRO,010108|NEGRO,PERUANA INTERLOCK 243 GR,2026-03-16,2026-05-31,3169.8,176.9,2992.9,166,receipts | sales
010108,PALO DE ROSA,010108|PALO DE ROSA,PERUANA INTERLOCK 243 GR,2026-03-16,2026-03-16,221.70000000000002,0.0,221.70000000000002,12,receipts
010108,ROJO,010108|ROJO,PERUANA INTERLOCK 243 GR,2026-04-28,2026-04-28,726.7,0.0,726.7,37,receipts
010108,VERDE BOTELLA,010108|VERDE BOTELLA,PERUANA INTERLOCK 243 GR,2026-04-28,2026-04-28,443.3,0.0,443.3,23,receipts
010108,VERDE SECO,010108|VERDE SECO,PERUANA INTERLOCK 243 GR,2026-03-16,2026-03-16,224.20000000000002,0.0,224.20000000000002,12,receipts
010201,ARENA,010201|ARENA,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,293.45,60.1,233.35,7,opening | sales
010201,AZUL M,010201|AZUL M,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,42.849999999999994,30.8,12.049999999999997,8,opening | receipts | sales
010201,BLANCO,010201|BLANCO,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,1207.0600000000002,192.79999999999998,1014.2600000000001,8,opening | receipts | sales
